id,platform,name,date,type,subject,questions,marks,time,syllabus,link,remarks,status,marks_obtained,potential_marks
GO075,GO Classes,OS Subject Wise Test 3,,Subject,Operating Systems,30,50,90,Complete Operating Systems Syllabus,,,Not Started,,
GO076,GO Classes,"OS, COA, DL Full Length Test 3",,Full,Combined,65,100,180,"Complete OS, COA, and DL Syllabus",,,Not Started,,
GO077,GO Classes,DS Topic Wise Test 1,,Topic,Data Structures,15,25,45,Linked List,,,Not Started,,
GO078,GO Classes,DS Topic Wise Test 2,,Topic,Data Structures,15,25,45,Asymptotic Notations and Loops time complexity,,,Not Started,,
GO079,GO Classes,DS Topic Wise Test 3,,Topic,Data Structures,15,25,45,Stack and Queue,,,Not Started,,
GO080,GO Classes,DS Topic Wise Test 4,,Topic,Data Structures,15,25,45,"Combinatorics in Trees (Binary tree, BST, AVL tree, Heap)",,,Not Started,,
GO081,GO Classes,DS Topic Wise Test 5,,Topic,Data Structures,15,25,45,Hashing with Probability,,,Not Started,,
GO082,GO Classes,DS Subject Wise Test 1,,Subject,Data Structures,30,50,90,Complete Data Structures Syllabus,,,Not Started,,
GO083,GO Classes,DS Subject Wise Test 2,,Subject,Data Structures,30,50,90,Complete Data Structures Syllabus,,,Not Started,,
GO084,GO Classes,DS Subject Wise Test 3,,Subject,Data Structures,30,50,90,Complete Data Structures Syllabus,,,Not Started,,
GO085,GO Classes,Algo Topic Wise Test 1,,Topic,Algorithms,15,25,45,Divide and Conquer (few probabilistic questions),,,Not Started,,
GO086,GO Classes,Algo Topic Wise Test 2,,Topic,Algorithms,15,25,45,"Recurrence relation (Master theorem, iteration method, change of variable, tree method)",,,Not Started,,
GO087,GO Classes,Algo Topic Wise Test 3,,Topic,Algorithms,15,25,45,Greedy Algorithms,,,Not Started,,
GO088,GO Classes,Algo Topic Wise Test 4,,Topic,Algorithms,15,25,45,Dynamic Programming,,,Not Started,,
GO089,GO Classes,Algo Subject Wise Test 1,,Subject,Algorithms,30,50,90,Complete Algorithm Syllabus,,,Not Started,,
GO090,GO Classes,Algo Subject Wise Test 2,,Subject,Algorithms,30,50,90,Complete Algorithm Syllabus,,,Not Started,,
GO091,GO Classes,Algo Subject Wise Test 3,,Subject,Algorithms,30,50,90,Complete Algorithm Syllabus,,,Not Started,,
GO092,GO Classes,"C, DS, Algo Full Length Test 4",,Full,Combined,65,100,180,"Complete C Programming, DS, and Algo Syllabus",,,Not Started,,
GO093,GO Classes,GO Classes CS 2026 Mock Test 1,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO094,GO Classes,GO Classes CS 2026 Mock Test 2,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO095,GO Classes,GO Classes CS 2026 Mock Test 3,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO096,GO Classes,GO Classes CS 2026 Mock Test 4,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO097,GO Classes,GO Classes CS 2026 Mock Test 5,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO098,GO Classes,GO Classes CS 2026 Mock Test 6,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO099,GO Classes,GO Classes CS 2026 Mock Test 7,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO100,GO Classes,GO Classes CS 2026 Mock Test 8,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO101,GO Classes,GO Classes CS 2026 Mock Test 9,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO102,GO Classes,GO Classes CS 2026 Mock Test 10,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO103,GO Classes,GO Classes CS 2026 Mock Test 11,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO104,GO Classes,GO Classes CS 2026 Mock Test 12,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO105,GO Classes,GO Classes CS 2026 Mock Test 13,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO106,GO Classes,GO Classes CS 2026 Mock Test 14,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO107,GO Classes,GO Classes CS 2026 Mock Test 15,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO108,GO Classes,GO Classes CS 2026 Mock Test 16,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO109,GO Classes,GO Classes CS 2026 Mock Test 17,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO110,GO Classes,GO Classes CS 2026 Mock Test 18,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO111,GO Classes,GO Classes CS 2026 Mock Test 19,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
GO112,GO Classes,GO Classes CS 2026 Mock Test 20,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
